Product ID,Product Name,Product Type,Brand/Series,Price Range,Energy Efficiency,Smart Features,Avg. Rating,Purchase Count,View Count,Add to Cart Count,Co-Purchase Count,Similar Products,,Image URL
1039,Bosch Mixer grinder S8,Power Tool,X1 Series,Low,A+,Yes,3.7,1126,2639,1043,671,"1093, 1028",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1047,Bosch Mixer grinder S9,Air Conditioner,Serie 4,High,B,Yes,4.8,474,2291,542,666,"1016, 1096",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1050,Bosch Mixer grinder S10,Air Conditioner,X2 Series,Low,B,No,5,539,5360,333,645,"1043, 1057",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1052,Bosch Mixer grinder S11,Washing Machine,X2 Series,High,A+,Yes,4.4,432,2403,398,402,"1043, 1059",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1075,Bosch Mixer grinder S12,Washing Machine,Serie 4,Medium,A+,Yes,4.9,820,3795,966,113,"1024, 1084",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1089,Bosch Mixer grinder S13,Washing Machine,Serie 5,High,A+,No,4.6,1695,5497,1678,797,"1090, 1054",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1098,Bosch Mixer grinder S14,Electric Kettle,X2 Series,Medium,A++,No,3.9,1391,2178,863,480,"1087, 1084",,https://media3.bosch-home.com/Product_Shots/1800x1012/20840476_MGM6642DIN_STP_D_def.webp
1014,Bosch Coffee Machine X2,Refrigerator,Serie 8,High,B,Yes,3.5,1531,6016,1809,742,"1023, 1080",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1031,Bosch Coffee Machine X2,Electric Kettle,Serie 7,Medium,A+,Yes,4.5,943,1711,1001,626,"1077, 1067",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1033,Bosch Coffee Machine X2,Washing Machine,Serie 6,Medium,B,No,4.7,1106,4721,692,793,"1069, 1074",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1036,Bosch Coffee Machine X2,Power Tool,Serie 3,High,B,Yes,4.8,1819,3816,1096,500,"1070, 1083",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1038,Bosch Coffee Machine X2,Refrigerator,Serie 6,High,B,Yes,4.5,1498,6462,1464,699,"1072, 1073",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1040,Bosch Coffee Machine X2,Coffee Machine,Serie 5,High,A+,Yes,3.6,1194,5550,1406,537,"1058, 1026",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1065,Bosch Coffee Machine X2,Electric Kettle,Serie 5,Low,B,No,4.6,104,3208,76,591,"1082, 1019",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1067,Bosch Coffee Machine X2,Air Conditioner,X2 Series,Medium,B,No,4.9,769,2672,552,329,"1064, 1067",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1071,Bosch Coffee Machine X2,Washing Machine,X5 Series,Medium,A++,No,3.7,1212,3847,1133,138,"1005, 1084",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
1073,Bosch Coffee Machine X2,Coffee Machine,Serie 5,Low,A+,Yes,3.7,834,4980,534,740,"1073, 1096",,https://media3.bosch-home.com/Product_Shots/1800x1012/MCSA02267860_H8240_1675448_MFQ22100_def.webp
